"","Domain","Supergroup","Division","Subdivision","Class","Order","Family","Genus","Species"
"a79b77ec434e4c32ddccb78761a007a5","Eukaryota"," TSAR"," Alveolata"," Dinoflagellata"," Dinophyceae","","","",""
"e4c016e9aff0a3d404f01260f7a93025","Eukaryota"," Obazoa"," Breviatea"," Breviatea_X"," Breviatea_XX"," Breviatea_XXX"," Subulatomonas-lineage"," Subulatomonas-lineage_X"," Subulatomonas-lineage_X_sp."
"95be9ee2685301b56a9cb71e77b8d758","Eukaryota"," Archaeplastida"," Streptophyta"," Streptophyta_X"," Embryophyceae"," Embryophyceae_X"," Embryophyceae_XX"," Apium"," Apium_graveolens"
"29df7225eb90249b5b899541044ce78f","Eukaryota"," TSAR"," Alveolata"," Apicomplexa"," Gregarinomorphea"," Eugregarinorida"," Gregarinidae"," Leidyana2",""
"1b0b43aaf7a5a745abdd6ff4a8ce60c5","Eukaryota"," TSAR"," Alveolata"," Dinoflagellata"," Dinophyceae","","","",""
"e985fbbee77893fcc195c20b55f1053b","Eukaryota"," TSAR"," Rhizaria"," Cercozoa","","","","",""
"25a9f7e7a1a1491307fcfcc939c500d3","Eukaryota","","","","","","","",""
"dcb8f760e124e374910047fb2cef9b08","Eukaryota","","","","","","","",""
"5c9b0840f16c84a6b7589f1c25071639","Eukaryota"," Obazoa"," Opisthokonta"," Metazoa"," Craniata"," Craniata_X","","",""
"861e3c7c6af959340c56b571aa312a33","Eukaryota"," Obazoa"," Opisthokonta","","","","","",""
"c1ffd4eaccd5ef56aa8e5486441869a6","Eukaryota"," Obazoa"," Opisthokonta"," Fungi"," Basidiomycota"," Agaricomycotina"," Agaricomycetes"," Trametes",""
"c669ab3bcd97586d36d5ade1286a8ace","Eukaryota"," Obazoa"," Opisthokonta"," Metazoa"," Platyhelminthes"," Turbellaria"," Rhabdocoela"," Uncinorhynchus"," Uncinorhynchus_flavidus"
"beedf8bc8ef038ed9aef4b03a92778ad","Eukaryota"," Obazoa"," Opisthokonta"," Fungi"," Basidiomycota"," Ustilaginomycotina"," Exobasidiomycetes"," Malassezia"," Malassezia_globosa"
"b47234c424c00748927c070ac1eed597","Eukaryota"," Archaeplastida"," Streptophyta"," Streptophyta_X"," Embryophyceae"," Embryophyceae_X"," Embryophyceae_XX"," Apium"," Apium_graveolens"
"fd97da6fd58dba82475e8fd770acbe55","Eukaryota","","","","","","","",""
"389950e760558e927385e40108737f9f","Eukaryota"," Obazoa"," Opisthokonta"," Fungi"," Basidiomycota"," Ustilaginomycotina"," Exobasidiomycetes"," Malassezia"," Malassezia_restricta"
"faff1d3727a40c7abbafa1473f1e0784","Eukaryota"," Archaeplastida"," Streptophyta"," Streptophyta_X"," Embryophyceae"," Embryophyceae_X"," Embryophyceae_XX"," Apium"," Apium_graveolens"
