Sample;Depth;Unit;date_min;date_max;date_median;date_mean;Sum_genus;Ammonia;Amphistegina;Cymbaloporetta;Neo_cassidulina;Eggerella;Elphidium;Euglandulina;Glandulina;Haynesina;Hyalinonetrion;Lagena;Miliolinella;Mimosina;Nonion;Peneroplis;Planispirinella;Planorbulinella;Pyrgo;Quinqueloculina;Reussella;Siphogenerina;Spiroloculina;Triloculina;Uvigerina;Wiesnerella
A01;1;I;;;;2022;1;1;;;;;;;;;;;;;;;;;;;;;;;;
A02;2;I;;;;2022;3;1;;;;;1;;;;;;;;1;;;;;;;;;;;
A03;3;I;2019;2024;2022;2022;4;1;;;;1;1;;;;;;;;;;;;;;;;;1;;
A04;4;I;2018;2023;2020;2020;6;1;;;;1;1;;;1;;;;;1;;;;;;;;;1;;
A05;5;I;2017;2021;2019;2019;5;1;;;;1;1;;;;;;;;1;;;;;1;;;;;;
A06;6;I;2015;2020;2017;2017;2;1;;;;;1;;;;;;;;;;;;;;;;;;;
A07;7;I;2013;2019;2016;2016;3;1;;;;;1;;;1;;;;;;;;;;;;;;;;
A08;8;I;2011;2018;2015;2015;2;1;;;;;1;;;;;;;;;;;;;;;;;;;
A09;9;I;2009;2017;2013;2013;5;1;;;;1;1;;;1;;;;;1;;;;;;;;;;;
A10;10;I;2008;2016;2012;2012;7;1;;;;1;1;;1;1;;;;;1;;;;;1;;;;;;
A11;11;I;2006;2016;2010;2010;0;;;;;;;;;;;;;;;;;;;;;;;;;
A12;12;I;2004;2015;2009;2009;0;;;;;;;;;;;;;;;;;;;;;;;;;
A13;13;I;2003;2014;2008;2008;1;;;;;;1;;;;;;;;;;;;;;;;;;;
A14;14;I;2002;2013;2007;2007;2;1;;;;;1;;;;;;;;;;;;;;;;;;;
A15;15;I;2000;2012;2006;2006;1;1;;;;;;;;;;;;;;;;;;;;;;;;
A16;16;I;1998;2012;2005;2005;0;;;;;;;;;;;;;;;;;;;;;;;;;
A17;17;I;1996;2012;2004;2004;0;;;;;;;;;;;;;;;;;;;;;;;;;
A18;18;I;1993;2012;2004;2003;0;;;;;;;;;;;;;;;;;;;;;;;;;
A19;19;I;1991;2012;2003;2002;0;;;;;;;;;;;;;;;;;;;;;;;;;
A20;20;I;1988;2012;2002;2001;2;1;;;;;1;;;;;;;;;;;;;;;;;;;
A21;21;I;1986;2012;2001;2000;6;1;;;;1;1;;;1;;;;;;;;;;1;;;;1;;
A23;23;I;1981;2011;2000;1999;4;1;;;;;1;;;1;;;;;1;;;;;;;;;;;
A25;25;I;1978;2009;1998;1996;0;;;;;;;;;;;;;;;;;;;;;;;;;
A27;27;I;1977;2006;1996;1994;5;1;;;;;1;;;;;;;;1;;;;;;1;;;1;;
A29;29;I;1977;2005;1993;1992;4;1;;;;;1;;;1;;;;;1;;;;;;;;;;;
A31;31;I;1976;2004;1989;1990;11;1;;;;1;1;;;1;;;;;1;;1;;1;1;;;1;1;;1
A33;33;I;1973;2004;1987;1987;10;1;;;;1;1;1;;;;;1;;1;;;;;1;;;1;1;;1
A35;35;I;1969;2003;1985;1985;8;1;;;;;1;;;1;;;;;1;;;;;1;;;1;1;;1
A37;37;I;1965;2002;1982;1983;9;1;;;;1;1;1;;1;;;;;1;;;;;1;;;;1;;1
A39;39;I;1964;2000;1979;1980;8;1;;;;;1;;;1;;;;;1;;;;;1;1;;1;1;;
A41;41;I;1961;1998;1976;1977;0;;;;;;;;;;;;;;;;;;;;;;;;;
A43;43;I;1961;1997;1976;1977;12;1;;;;1;1;1;1;1;;;;;1;;;;;1;1;;1;1;;1
A45;45;I;1960;1997;1976;1976;3;;;;;;1;;;1;;;;;;;;;;1;;;;;;
A47;47;II;1960;1996;1975;1976;2;;;;;;1;;;1;;;;;;;;;;;;;;;;
A49;49;II;1959;1995;1975;1975;7;;;;;;1;;1;1;;;;;1;;1;;;1;;;;1;;
A51;51;II;1959;1993;1974;1975;7;1;;;;1;1;;;1;;;;;1;;;;;1;;;;1;;
A53;53;II;1959;1992;1973;1974;6;;;;;;1;;;1;;;;;1;;;;;1;1;;;1;;
A55;55;II;1958;1992;1972;1973;8;1;;;;1;1;;;1;;1;;;1;;;;;1;;;;1;;
A57;57;II;1958;1992;1971;1972;6;1;;;;1;1;;;;;;;;1;;;;;1;;;;1;;
A59;59;II;1957;1991;1970;1971;9;1;;;;1;1;;;1;;1;;;1;;;;;1;;;;1;;1
A61;61;II;1956;1990;1969;1970;0;;;;;;;;;;;;;;;;;;;;;;;;;
A63_F;63;II;1956;1988;1969;1970;8;1;;;;;1;;;1;;;;;1;;;;;1;1;;;1;;1
A65_F;65;II;1956;1987;1968;1969;7;1;1;;;1;1;;;;;;;;1;;;;;;1;;;1;;
A67_F;67;II;1956;1986;1967;1968;5;1;;;;1;1;;;;;;;;;;;;;1;;;;1;;
A69_F;69;II;1955;1985;1966;1967;4;1;;;;;;;;1;;;;;1;;;;;1;;;;;;
B01;70;II;1955;1985;1966;1967;3;1;;;;;;;;;;;;;;;;;;1;;;;1;;
B03;71;II;1955;1985;1965;1967;7;1;;;;1;1;;;1;;;;;1;;;;;1;;;;;1;
B05;73;II;1954;1983;1965;1966;4;;;;;1;1;;;;;;;;;;;;;;;;;1;;1
B07;75;II;1954;1980;1964;1965;1;;;;;;1;;;;;;;;;;;;;;;;;;;
B09;77;II;1954;1978;1964;1964;0;;;;;;;;;;;;;;;;;;;;;;;;;
B11;79;II;1954;1976;1963;1964;1;;;;;;;;;;;;;;;;;;;1;;;;;;
B13;81;II;1954;1974;1963;1963;6;;;;;;;;;1;;;;;1;;1;;;1;1;;;1;;
B15;83;II;1953;1973;1962;1962;5;;;;;;1;;;1;;;;;1;;;;;1;;;;1;;
B17;85;II;1953;1972;1961;1962;8;;1;;;;1;;;1;;;;;1;;;;;1;;;1;1;;1
B19;87;II;1952;1972;1961;1961;10;1;;;;1;1;;1;1;;;;;1;;1;;;1;1;;;;;1
B21;89;II;1952;1972;1961;1961;3;;;;;;1;;;1;;;;;;;;;;1;;;;;;
B23;91;II;1952;1972;1961;1961;4;1;;;;;;;;1;;;;;1;;;;;1;;;;;;
B25;93;II;1951;1971;1960;1961;8;1;1;;;;1;;;1;;;;;1;;;;;1;;1;1;;;
