Codification;SampleID;Depth;Unite;all_na;UB;VS;date_min;date_max;date_median;date_mean;Clay ;Very_fine_silt_;Fine_silt_;Medium_silt_;Coarse_silt_;Silt;Very_fine_sand_;Fine_sand_;Medium_sand_;Coarse_sand_;Very_coarse_sand_;Sand;NT_perc;COP_perc;CT_perc;Li;Al;Al_perc;V;Cr;Mn;Fe;Fe_perc;Co;Ni;Ni_perc;Cu;Zn;As;Mo;Ag;Cd;Sn;Sb;Ba;Pb;U;Hg
A-01;A01;1;I;non;38,3818978;61,6181022;;;;2022;23,4598035;9,859214;10,3369745;12,91215425;17,17062725;50,27897;16,72052275;6,1027045;2,517097;0,85339225;0,06750975;26,26122625;0,095626041;2,239968142;;17,51;28235;2,8;83,68;1898;1033;90885;9,1;191,9;3445;0,3;23,02;79,27;12,17;1,259;0,022;0,065;0,654;0,535;89;5,781;0,991;0,136
A-02;A02;2;I;non;;;;;;2022;;;;;;;;;;;;;0,07082661;1,63586035;;;;;;;;;;;;;;;;;;;;;;;;
A-03;A03;3;I;non;44,18716437;55,81283563;2019;2024;2022;2022;16,963638;8,470252;8,491201333;10,815199;24,846221;52,62287333;28,73385167;1,679637333;0;0;0;30,413489;0,076897641;1,571686431;;17,67;26583;2,7;89,03;2109;1078;96614;9,7;202,9;3583;0,4;20,29;84,13;21,45;1,259;0,02;0,056;0,619;0,609;73,82;4,923;1,211;0,129
A-04;A04;4;I;non;;;2018;2023;2020;2020;;;;;;;;;;;;;0,090548245;1,618795913;;;;;;;;;;;;;;;;;;;;;;;;
A-05;A05;5;I;non;50,32917542;49,67082458;2017;2021;2019;2019;22,576031;10,15175833;11,90091633;15,51282933;18,58986933;56,15537333;13,63207;5,358631;1,906058667;0,370315;0,001520667;21,26859533;0,057039414;1,397877462;1,850913019;16,04;23943;2,4;86,12;2274;1012;99483;9,9;215,5;3870;0,4;17,68;80,23;21,84;1,36;0,016;0,052;0,493;0,57;66;4,049;1,639;0,127
A-06;A06;6;I;non;;;2015;2020;2017;2017;23,552925;10,71049033;12,90105467;16,36691133;19,62235;59,60080633;14,550238;2,091999667;0,168423333;0,035607667;0;16,84626867;0,065402114;1,212090078;;;;;;;;;;;;;;;;;;;;;;;;
A-07;A07;7;I;non;52,67673077;47,32326923;2013;2019;2016;2016;;;;;;;;;;;;;NA;NA;;16,36;21796;2,2;78,64;2324;1035;95578;9,6;210,9;3834;0,4;16,73;75,17;15,97;2,293;0,015;0,057;0,447;0,545;58,19;3,708;2,128;0,112
A-08;A08;8;I;non;;;2011;2018;2015;2015;28,304336;12,604508;13,33126467;13,49851633;14,453565;53,887854;14,668626;2,975985333;0,126245333;0,036953;0;17,80780967;0,06912712;1,848673772;;;;;;;;;;;;;;;;;;;;;;;;
A-09;A09;9;I;non;53,54226923;46,45773077;2009;2017;2013;2013;;;;;;;;;;;;;0,04181705;0,939425478;;16,56;22058;2,2;82,02;2441;1014;98669;9,9;223,5;3999;0,4;18,14;81,22;14,76;2,068;0,016;0,064;0,463;0,448;58,87;4,217;1,858;0,11
A-10;A10;10;I;non;;;2008;2016;2012;2012;24,84231667;11,220309;12,718729;12,995043;15,67345633;52,60753733;16,13606967;3,480874;1,294667333;1,638535667;0;22,55014667;0,06803443;1,811358799;;;;;;;;;;;;;;;;;;;;;;;;
A-11;A11;11;I;non;;;2006;2016;2010;2010;;;;;;;;;;;;;0,053486258;0,995464512;;;;;;;;;;;;;;;;;;;;;;;;
A-12;A12;12;I;non;47,84658474;52,15341526;2004;2015;2009;2009;16,46862533;7,666058;10,69446867;16,67785767;22,54878067;57,587165;17,60802033;5,164493333;1,715771333;1,080791;0,375133333;25,94420933;0,09535921;1,997115611;;20,45;26273;2,6;83,62;1975;1111;103373;10,3;229,8;4078;0,4;20,93;85,51;16,06;3,308;0,021;0,063;0,586;0,574;74,06;4,908;2,028;0,174
A-13;A13;13;I;non;;;2003;2014;2008;2008;;;;;;;;;;;;;0,20434945;2,81833993;;;;;;;;;;;;;;;;;;;;;;;;
A-14;A14;14;I;non;44,22199275;55,77800725;2002;2013;2007;2007;16,34053867;7,620532333;9,993963333;12,486446;20,62182233;50,722764;28,10121067;3,155374667;0,746859;0,933253;0;32,93669733;0,083995773;1,634259826;1,652668472;22,05;30400;3;91,04;1941;1473;110858;11,1;254,1;4318;0,4;26,8;97,06;17,06;2,141;0,026;0,073;0,857;0,605;91,8;6,134;1,301;0,147
A-15;A15;15;I;non;;;2000;2012;2006;2006;;;;;;;;;;;;;0,076343484;1,370293495;;;;;;;;;;;;;;;;;;;;;;;;
A-16;A16;16;I;non;49,58605686;50,41394314;1998;2012;2005;2005;9,883026667;6,016412333;8,001425667;7,856865333;15,269531;37,14423433;33,90027067;13,17904367;4,790053333;1,103372333;0;52,97274;0,040474913;0,835106561;;18,44;25608;2,6;79,12;2200;1093;104651;10,5;236,5;4001;0,4;19,3;86,97;10,82;1,093;0,02;0,081;0,527;0,51;73,23;4,717;1,031;0,114
A-17;A17;17;I;non;;;1996;2012;2004;2004;;;;;;;;;;;;;0,035920631;0,946407185;;;;;;;;;;;;;;;;;;;;;;;;
A-18;A18;18;I;non;49,79572974;50,20427026;1993;2012;2004;2003;23,70388433;8,963665333;10,587516;10,252207;9,580459;39,38384733;4,985461667;9,757655;12,371325;7,737475333;2,060351333;36,91226833;0,101327782;1,7704077;;18,48;25907;2,6;76,49;2184;1268;106372;10,6;253,7;4254;0,4;20,78;88,32;8,1;1,557;0,022;0,076;0,528;0,466;74,23;5,257;0,916;0,127
A-19;A19;19;I;non;;;1991;2012;2003;2002;;;;;;;;;;;;;0,082147764;1,641491567;;;;;;;;;;;;;;;;;;;;;;;;
A-20;A20;20;I;non;51,34602847;48,65397153;1988;2012;2002;2001;26,110797;10,16314467;13,34930333;16,42691767;17,28017533;57,219541;12,97103833;3,399555333;0,204755667;0,094313;0;16,66966233;0,069839988;1,604585063;;20,76;27871;2,8;89,29;2328;1233;118404;11,8;259,7;4635;0,5;22,48;99,86;15,77;1,433;0,022;0,072;0,598;0,57;78,18;5,703;1,314;0,156
A-22;A22;22;I;non;;;1983;2011;2001;1999;23,079144;9,641087;12,70210767;16,732074;19,08399167;58,15926033;15,06427867;3,227192667;0,453121333;0,017003333;0;18,761596;0,080947587;1,408358978;;;;;;;;;;;;;;;;;;;;;;;;
A-24;A24;24;I;non;43,42727309;56,57272691;1978;2011;1999;1998;15,574354;7,419594333;10,10224967;13,87714;23,01383433;54,41281833;27,820217;2,192611;0;0;0;30,012828;0,094754724;1,799248099;2,043714713;23,98;31846;3,2;97,33;2041;1025;114312;11,4;264,2;4775;0,5;25,13;99,23;19,43;3,055;0,026;0,081;0,67;0,582;84,41;6;2,017;0,151
A-26;A26;26;I;non;;;1978;2007;1997;1995;32,44374133;12,74893233;16,12406433;18,68099733;14,50973367;62,06372767;4,394484333;0,843422333;0,254624333;0;0;5,492531;0,10562139;1,836033771;;;;;;;;;;;;;;;;;;;;;;;;
A-28;A28;28;I;non;52,85746033;47,14253967;1977;2005;1994;1993;27,11070633;10,696208;15,24686667;19,55313733;17,07919267;62,57540467;7,875204333;1,84061;0,570470333;0,027603667;0;10,31388833;0,152447578;1,888148205;;19,91;27144;2,7;94,02;2146;1197;119262;11,9;266;5033;0,5;22,14;98,74;21,92;1,694;0,019;0,067;0,557;0,522;68,74;5,079;1,502;0,135
A-30;A30;30;I;non;;;1976;2004;1991;1991;22,56709533;8,892193333;12,52430967;15,61002167;17,07720633;54,103731;15,080348;5,529615333;1,194163;1,013978;0,511069333;23,32917367;0,072814968;1,438820558;;;;;;;;;;;;;;;;;;;;;;;;
A-32;A32;32;I;non;62,51007756;37,48992244;1975;2004;1988;1989;14,351882;7,363438;8,900874333;10,56815833;17,57737467;44,40984533;23,635273;8,07733;6,778249333;2,723857667;0,023563;41,238273;0,059541604;0,878569263;;15,28;21798;2,2;90,77;2342;1600;120644;12,1;294,2;5502;0,6;18,62;96,82;25,52;1,716;0,014;0,06;0,513;0,458;55,42;4,302;1,354;0,119
A-34;A34;34;I;non;;;1971;2003;1986;1986;27,337951;10,83197067;14,56421933;18,43682967;17,04033967;60,87335933;8,089576667;2,093194;1,286433667;0,319485333;0;11,78868967;0,047752104;0,916975571;;;;;;;;;;;;;;;;;;;;;;;;
A-36;A36;36;I;non;59,15969704;40,84030296;1966;2003;1984;1984;19,500248;8,069785;10,01410233;13,16553367;16,81115467;48,06057567;17,55340633;10,311168;3,533704667;0,865357333;0,175539667;32,439176;0,019662335;1,014644862;0,895606453;16,7;22641;2,3;82,92;2373;1344;115417;11,5;271;4758;0,5;18,23;91,53;20,78;1,987;0,017;0,065;0,458;0,5;59,35;4,233;1,312;0,099
A-38;A38;38;I;non;;;1965;2001;1981;1981;27,663368;10,75221833;14,468924;18,07324067;17,00743867;60,30182167;8,824954667;1,914836;0,508735;0,585699667;0,200585;12,03481033;0,081893659;1,33858546;;;;;;;;;;;;;;;;;;;;;;;;
A-40;A40;40;I;non;61,76210167;38,23789833;1962;1999;1978;1978;;;;;;;;;;;;;0,129192156;1,667435477;;16,88;23882;2,4;82,28;2398;1877;129272;12,9;315,2;5494;0,5;20,35;103,95;15,11;1,805;0,02;0,075;0,472;0,538;62,82;4,527;1,174;0,153
A-42;A42;42;I;non;;;1961;1998;1976;1977;37,974134;13,07897967;15,98161833;17,69924633;11,901972;58,66181633;3,018712;0,178392667;0,065063333;0,101881;0;3,364049;0,0681246;1,181014384;;;;;;;;;;;;;;;;;;;;;;;;
A-44;A44;44;I;non;59,5566392;40,4433608;1961;1997;1976;1977;;;;;;;;;;;;;0,081385449;1,094108991;;18,89;28831;2,9;90,31;2194;2019;143325;14,3;305,7;5676;0,6;25,44;116,21;12,27;1,554;0,02;0,091;0,614;0,521;75,34;5,138;0,927;0,154
A-46;A46;46;I;non;;;1960;1997;1975;1976;32,890996;13,48157467;17,86334567;19,995075;12,075938;63,41593333;3,529459;0,163611667;0;0;0;3,693070667;0,098654336;1,444350381;;;;;;;;;;;;;;;;;;;;;;;;
A-48;A48;48;II;non;86,2185249;13,7814751;1959;1996;1975;1976;;;;;;;;;;;;;0,06510165;1,03424751;;10,84;20022;2;96,18;3509;3330;216051;21,6;517,2;9766;1;22,6;164,53;19,61;2,015;0,013;0,139;0,389;0,315;43,72;3,662;0,864;0,161
A-50;A50;50;II;non;;;1959;1994;1974;1975;27,67491933;12,13568167;16,174692;19,30023133;15,686926;63,297531;8,303383333;0,724165667;0;0;0;9,027549;0,055301997;0,969235732;1,011561306;;;;;;;;;;;;;;;;;;;;;;;
A-52;A52;52;II;non;78,01399214;21,98600786;1959;1993;1974;1974;;;;;;;;;;;;;0,018736621;0,397793632;;13,03;20621;2,1;96,25;2936;2312;172434;17,2;397,7;7489;0,7;20,23;136,69;24,02;2,113;0,014;0,095;0,414;0,461;48,35;3,893;1,268;0,151
